ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref A
149;Organic;4;Plant based ;Scallion;;;;;;;;;;;;;;;;dry ash free basis;48.12;6.27;3.09;0.78;41.74;;100;48.12;6.27;3.09;0.78;41.74;;;18.042;;;18.042;;31
150;Organic;4;Plant based ;Lettuce;;;;;dry basis;;80.45;2.36;17.19;100;0;80.45;2.36;17.19;;;;;;;;;;;;;;;;;;;;;;31
151;Organic;4;Plant based ;Vegetables mix;;;;;dry basis;;65.45;15.45;19.1;100;0;65.45;15.45;19.1;;dry ash free basis;41.3;3.1;5.36;0.66;49.58;;100;41.3;3.1;5.36;0.66;49.58;;;;;;;;31
152;Organic;4;Plant based ;Vegetables mix;;;;;dry basis;;65.06;14.99;19.96;100.01;0;65.05;14.99;19.96;;dry ash free basis;41.14;4.85;4.39;1.16;48.46;;100;41.14;4.85;4.39;1.16;48.46;;;;;;;;31
153;Organic;4;Plant based ;Vegetables mix;;;;;;;;;;;;;;;;dry ash free basis;50.31;6.71;2.73;0.42;39.83;;100;50.31;6.71;2.73;0.42;39.83;;;;;;;;31
154;Organic;4;Plant based ;Rice;avg. Properties in differents states at 50°C;0.6975;0.1475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44
155;Organic;4;Plant based ;Rice;;;;;dry basis;;84.42;15.18;0.4;100;0;84.42;15.18;0.4;;dry ash free basis;45.97;6.35;1.69;0.25;45.74;;100;45.97;6.35;1.69;0.25;45.74;;;18.14;;18.21285141;18.14;18.14;31
156;Organic;4;Plant based ;Rice;;;;;dry basis;;87.74;11.84;0.42;100;0;87.74;11.84;0.42;;dry ash free basis;44.2;5.73;1.2;0.1;48.75;0.02;100;44.2;5.73;1.2;0.1;48.75;0.02;;17.972;;18.04780076;17.972;17.972;31
157;Organic;4;Plant based ;Rice;;;;;dry basis;;;;;;;;;;;dry ash free basis;40.64;6.59;1.68;0.14;50.96;;100.01;40.63593641;6.589341066;1.679832017;0.139986001;50.95490451;;;17.802;;;17.802;;31
158;Organic;4;Plant based ;Rice;;;;;dry basis;;86.45;12.45;1.11;100.01;0;86.44135586;12.44875512;1.109889011;;dry ash free basis;43.41;6.29;1.72;0.13;48.44;;99.99;43.41434143;6.290629063;1.720172017;0.130013001;48.44484448;;;18.095;;18.29808847;18.095;18.095;31
