ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;SiO2;CaO;Fe2O3;Al2O3;Na2O;MgO;K2O;P2O5;TiO2;MnO;CuO;ZnO;BaO;SO3;Cl;Cr2O3;ZrO2;PbO;B2O3;SrO;SiO2_norm;CaO_norm;Fe2O3_norm;Al2O3_norm;Na2O_norm;MgO_norm;;Share;REF
43;Inert;3;Slag;Glassy slag;at room temperature;2.759;;0.757013083;B;44.91;37.29;;17.80;;;;;;;;;;;;;;;;;0.4491;0.3729;0.0000;0.1780;0.0000;0.0000;;1;165
44;Inert;3;Slag;Glassy slag;at room temperature;2.773;;0.756150628;C;46.02;43.42;;10.56;;;;;;;;;;;;;;;;;0.4602;0.4342;0.0000;0.1056;0.0000;0.0000;;1;165
45;Inert;3;Slag;Glassy slag;at room temperature;2.905;;0.754762755;D;48.08;46.77;;5.15;;;;;;;;;;;;;;;;;0.4808;0.4677;0.0000;0.0515;0.0000;0.0000;;1;165
46;Inert;3;Slag;Glassy slag;at room temperature;2.91;;0.770279422;E;12.40;48.33;;39.27;;;;;;;;;;;;;;;;;0.1240;0.4833;0.0000;0.3927;0.0000;0.0000;;1;165
47;Inert;3;Slag;Glassy slag;at room temperature;2.866;;0.760021722;F;40.17;40.06;;19.77;;;;;;;;;;;;;;;;;0.4017;0.4006;0.0000;0.1977;0.0000;0.0000;;1;165
48;Inert;3;Slag;Glassy slag;at room temperature;2.761;;0.754244205;G;53.01;34.75;;12.24;;;;;;;;;;;;;;;;;0.5301;0.3475;0.0000;0.1224;0.0000;0.0000;;1;165
97;Inert;4;Ceramic;Ceramic Plates;Standard Ceramic Powder ;3.15;;;;66.57;2.41;1.41;21.6;1.41;;2.79;;;;;;;;1.49;;;;;;0.7127;0.0258;0.0151;0.2313;0.0151;0.0000;;0.956183456;169
98;Inert;4;Ceramic;Porcelain;;2.3;2.5;0.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;187
99;Inert;4;Ceramic;Porcelain;;;;;;58.8;0.21;0.82;36.9;0.12;0.73;2.21;0.24;;;;;;;;;;;;;0.6026;0.0022;0.0084;0.3782;0.0012;0.0075;;0.975507348;195
100;Inert;4;Ceramic;Soft Porcelains;;2.42;;;;71.66;0.21;0.37;19.12;5.16;0.06;2.58;0.01;0.83;0.01;;;;;0;;;;;;0.7420;0.0022;0.0038;0.1980;0.0534;0.0006;;0.96570343;192
101;Inert;4;Ceramic;Soft Porcelains;;2.58;;;;72.37;0.2;0.22;19.29;5.16;0.05;2.56;0.01;0.15;0.01;;;;;0;;;;;;0.7439;0.0021;0.0023;0.1983;0.0530;0.0005;;0.972705459;192
102;Inert;4;Ceramic;Hard Porcelain;;2.59;;;;69.5;0.23;0.34;24.05;1.17;0.04;4.37;0.01;0.82;0.01;;;;;0;;;;;;0.7290;0.0024;0.0036;0.2523;0.0123;0.0004;;0.948179829;192
103;Inert;4;Ceramic;Bone China Pitcher;;;;;;33.9;26.12;0.41;16.17;0.63;0.27;2.08;19.36;0.33;;;;;;;;;;;;0.4374;0.3370;0.0053;0.2086;0.0081;0.0035;;0.780699103;205
104;Inert;4;Ceramic;Bone China;;2.82;;;;33.2;25.9;0.24;12.9;1.27;0.72;1.64;19.5;0.05;;;0.02;0.01;0.04;;;;;;;0.4473;0.3489;0.0032;0.1738;0.0171;0.0097;;0.777358886;196
105;Inert;4;Ceramic;Bone China;from United Kingdom;;;;;33.7;25.9;0.31;14.1;0.32;0.68;2.26;22.7;;;;;;;;;;;;;0.4493;0.3453;0.0041;0.1880;0.0043;0.0091;;0.750325098;195
106;Inert;4;Ceramic;Bone China;from Japan;;;;;34.9;23.3;0.19;19.5;0.27;0.52;2.06;19.2;;;;;;;;;;;;;0.4436;0.2961;0.0024;0.2478;0.0034;0.0066;;0.787272363;195
107;Inert;4;Ceramic;Magnesium porcelain;;3.58;47.5;0.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;225
